X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
707;143;0.27637;0.09979343;0.27637;0.09979343;781.4;0.2633861;False;24.05.2024 13:59:20:805;1716551960805;;
810;146;0.3166671;0.1018085;0.420376;0.137197;779.6;0.2351748;False;24.05.2024 13:59:20:835;1716551960835;;
971;256;0.3795443;0.1780428;0.5147074;0.3944232;778.6;0.2527738;False;24.05.2024 13:59:20:860;1716551960860;;
989;258;0.3863391;0.179645;0.4322643;0.2100429;777.6;0.2542453;False;24.05.2024 13:59:20:876;1716551960876;;
976;252;0.3813395;0.1754908;0.3037955;0.09880611;777.5;0.2539239;False;24.05.2024 13:59:20:896;1716551960896;;
967;248;0.3779061;0.172603;0.3039078;0.09880465;777.5;0.2544545;False;24.05.2024 13:59:20:912;1716551960912;;
963;413;0.3765222;0.2873741;0.3196885;0.5409499;776.2;0.2594037;False;24.05.2024 13:59:20:935;1716551960935;;
918;529;0.3586256;0.3679761;0.2495699;0.5591508;775.4;0.2555538;False;24.05.2024 13:59:20:958;1716551960958;;
903;541;0.3530668;0.3761189;0.2728186;0.4278882;774.8;0.2569869;False;24.05.2024 13:59:20:975;1716551960975;;
781;544;0.3051837;0.3780269;0.1354084;0.3936073;776.7;0.2575655;False;24.05.2024 13:59:20:992;1716551960992;;
736;543;0.2878196;0.3771819;0.1901802;0.2603125;779.7;0.2362136;False;24.05.2024 13:59:21:10;1716551961010;;
707;542;0.2765391;0.3765513;0.1903204;0.2601994;782.3;0.2368045;False;24.05.2024 13:59:21:24;1716551961024;;
640;470;0.2503191;0.3268036;0.137253;0.06225596;784.2;0.2375357;False;24.05.2024 13:59:21:43;1716551961043;;
596;448;0.2332025;0.311375;0.1334073;0.1301357;785.9;0.2381908;False;24.05.2024 13:59:21:56;1716551961056;;
559;401;0.2185604;0.2786586;0.1372546;0.06227364;787.5;0.2379287;False;24.05.2024 13:59:21:74;1716551961074;;
532;366;0.2081038;0.2547997;0.1372535;0.06226273;788.9;0.2376866;False;24.05.2024 13:59:21:88;1716551961088;;
471;446;0.1841832;0.3101643;0.08867507;0.5023914;788.4;0.2360766;False;24.05.2024 13:59:21:107;1716551961107;;
452;429;0.1768996;0.2983979;0.1290081;0.1534579;787.8;0.2374485;False;24.05.2024 13:59:21:127;1716551961127;;
440;418;0.1722057;0.2904359;0.1290239;0.153384;787.2;0.2379982;False;24.05.2024 13:59:21:142;1716551961142;;
432;378;0.1689042;0.2627948;0.1375656;0.06831033;787.5;0.2325199;False;24.05.2024 13:59:21:159;1716551961159;;
426;348;0.1666;0.242026;0.1367511;0.05612855;787.8;0.2329344;False;24.05.2024 13:59:21:174;1716551961174;;
586;374;0.2290271;0.2600565;0.4061038;0.3710427;787.8;0.2361221;False;24.05.2024 13:59:21:192;1716551961192;;
684;374;0.2672467;0.2598201;0.4139295;0.2206;787.8;0.2364805;False;24.05.2024 13:59:21:206;1716551961206;;
1000;379;0.3908739;0.2632564;0.5972707;0.3043896;787.2;0.2271824;False;24.05.2024 13:59:21:223;1716551961223;;
1152;381;0.4502481;0.2647409;0.5836276;0.2918082;786.7;0.2273621;False;24.05.2024 13:59:21:239;1716551961239;;
1204;369;0.4703461;0.256377;0.5219722;0.1479678;783.7;0.2260703;False;24.05.2024 13:59:21:257;1716551961257;;
1231;360;0.4812176;0.2502818;0.5203689;0.1448976;781.1;0.2265771;False;24.05.2024 13:59:21:272;1716551961272;;
