X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
787;214;0.3074239;0.1489675;0.3074239;0.1489675;742.5;0.2614219;False;24.05.2024 14:05:31:803;1716552331803;;
794;370;0.3103824;0.2570918;0.3385255;0.4477955;746.0;0.2614046;False;24.05.2024 14:05:31:843;1716552331843;;
617;386;0.2413925;0.2685564;0.09738328;0.3401703;745.1;0.2666149;False;24.05.2024 14:05:31:869;1716552331869;;
497;506;0.1941895;0.3518479;0.08787505;0.5536582;742.8;0.265433;False;24.05.2024 14:05:31:895;1716552331895;;
431;573;0.1684856;0.3979805;0.08787131;0.5536403;740.8;0.2653916;False;24.05.2024 14:05:31:916;1716552331916;;
392;572;0.1533202;0.3977926;0.1034956;0.3091392;738.8;0.2627557;False;24.05.2024 14:05:31:942;1716552331942;;
361;571;0.1410477;0.3967277;0.09335902;0.3848489;737.7;0.2569892;False;24.05.2024 14:05:31:966;1716552331966;;
340;571;0.132836;0.3969601;0.09060108;0.3998368;736.7;0.2568531;False;24.05.2024 14:05:31:985;1716552331985;;
324;570;0.1268667;0.3961139;0.09560177;0.3829562;734.9;0.2556021;False;24.05.2024 14:05:32:7;1716552332007;;
314;569;0.122772;0.3954778;0.09560066;0.3829494;733.2;0.2555383;False;24.05.2024 14:05:32:28;1716552332028;;
307;566;0.1201515;0.3936806;0.100751;0.3181884;728.4;0.2549381;False;24.05.2024 14:05:32:51;1716552332051;;
306;528;0.1198733;0.3670195;0.1167318;0.1985817;723.2;0.2514856;False;24.05.2024 14:05:32:74;1716552332074;;
305;507;0.1194841;0.3523284;0.113962;0.2118122;718.5;0.2513972;False;24.05.2024 14:05:32:93;1716552332093;;
306;465;0.1197942;0.323178;0.1262676;0.1538331;715.3;0.2486246;False;24.05.2024 14:05:32:115;1716552332115;;
307;440;0.1200112;0.3061966;0.1248411;0.1740911;714.4;0.2539156;False;24.05.2024 14:05:32:138;1716552332138;;
307;420;0.1202105;0.291722;0.1248413;0.1741022;713.5;0.2539179;False;24.05.2024 14:05:32:163;1716552332163;;
308;515;0.1203627;0.3581579;0.1376656;0.5542377;713.4;0.252281;False;24.05.2024 14:05:32:186;1716552332186;;
308;564;0.120535;0.3919814;0.145014;0.5299887;714.1;0.2491325;False;24.05.2024 14:05:32:207;1716552332207;;
309;520;0.1207133;0.3614553;0.1269134;0.1747074;716.8;0.2558829;False;24.05.2024 14:05:32:229;1716552332229;;
309;490;0.1208454;0.3409013;0.1269151;0.1746899;719.2;0.2559739;False;24.05.2024 14:05:32:247;1716552332247;;
308;487;0.120511;0.3383946;0.1134932;0.2626771;721.9;0.2582648;False;24.05.2024 14:05:32:268;1716552332268;;
308;477;0.1204684;0.3317394;0.1191706;0.2308912;725.1;0.2547165;False;24.05.2024 14:05:32:291;1716552332291;;
308;470;0.120393;0.3269666;0.1175972;0.2303814;728.1;0.2549585;False;24.05.2024 14:05:32:309;1716552332309;;
308;455;0.120455;0.3163849;0.1253812;0.1951312;729.8;0.2511487;False;24.05.2024 14:05:32:330;1716552332330;;
308;444;0.1205031;0.3086286;0.1253864;0.195112;731.3;0.2515261;False;24.05.2024 14:05:32:348;1716552332348;;
