X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
455;884;0.1778951;0.6143335;0.2247189;0.6011429;719.5;0.2434755;False;24.05.2024 14:06:21:627;1716552381627;;
505;884;0.1976198;0.6140478;0.3145553;0.6020312;718.4;0.2496395;False;24.05.2024 14:06:21:646;1716552381646;;
537;883;0.2100764;0.6138484;0.3143417;0.6020537;717.3;0.2492721;False;24.05.2024 14:06:21:661;1716552381661;;
527;934;0.205987;0.6492566;0.1682299;0.8162491;714.2;0.2626842;False;24.05.2024 14:06:21:679;1716552381679;;
519;968;0.2031144;0.6722738;0.1680378;0.8162804;711.4;0.2622134;False;24.05.2024 14:06:21:693;1716552381693;;
525;978;0.2053708;0.6794177;0.2529804;0.7444959;709.8;0.2592257;False;24.05.2024 14:06:21:712;1716552381712;;
527;977;0.2059792;0.678978;0.2373146;0.6634185;709.1;0.2611386;False;24.05.2024 14:06:21:731;1716552381731;;
529;977;0.2070094;0.6787028;0.2476392;0.6629689;708.5;0.2607651;False;24.05.2024 14:06:21:744;1716552381744;;
526;977;0.2058072;0.6789274;0.188442;0.6843061;708.6;0.2626455;False;24.05.2024 14:06:21:764;1716552381764;;
524;977;0.2049637;0.6790871;0.1883453;0.6843164;708.8;0.2623863;False;24.05.2024 14:06:21:779;1716552381779;;
515;977;0.2015507;0.6791449;0.16428;0.6811179;708.3;0.2599553;False;24.05.2024 14:06:21:795;1716552381795;;
509;978;0.1991257;0.6791877;0.1641705;0.681125;707.9;0.2596738;False;24.05.2024 14:06:21:810;1716552381810;;
509;981;0.1989187;0.681837;0.1923065;0.7240382;708.3;0.2586662;False;24.05.2024 14:06:21:828;1716552381828;;
507;984;0.19809;0.6833817;0.1780351;0.7196063;708.6;0.2583697;False;24.05.2024 14:06:21:842;1716552381842;;
505;985;0.1973237;0.6844275;0.1798481;0.7105116;710.3;0.2586678;False;24.05.2024 14:06:21:859;1716552381859;;
502;986;0.1961084;0.6852632;0.1694619;0.7124019;711.7;0.2583431;False;24.05.2024 14:06:21:873;1716552381873;;
498;986;0.1948161;0.6852389;0.1701482;0.6764501;712.5;0.2621725;False;24.05.2024 14:06:21:891;1716552381891;;
497;986;0.1944344;0.6853521;0.1792875;0.6932778;713.3;0.2618927;False;24.05.2024 14:06:21:905;1716552381905;;
497;987;0.1944373;0.6856438;0.1957186;0.6989959;714.5;0.2630443;False;24.05.2024 14:06:21:923;1716552381923;;
497;987;0.1944394;0.6858541;0.1955994;0.6990105;715.5;0.2627161;False;24.05.2024 14:06:21:938;1716552381938;;
497;987;0.194142;0.6855224;0.1818366;0.6632808;716.1;0.2611667;False;24.05.2024 14:06:21:956;1716552381956;;
496;987;0.1941261;0.6857474;0.1911563;0.699973;716.6;0.260863;False;24.05.2024 14:06:21:969;1716552381969;;
496;987;0.1941113;0.6859536;0.1911323;0.699975;717.0;0.2608009;False;24.05.2024 14:06:21:983;1716552381983;;
514;981;0.2008382;0.681775;0.2620153;0.6141175;717.0;0.2589258;False;24.05.2024 14:06:22:1;1716552382001;;
526;977;0.2055287;0.6787533;0.2619349;0.6141332;717.0;0.2587875;False;24.05.2024 14:06:22:16;1716552382016;;
529;972;0.2067082;0.6751402;0.2333103;0.6100108;717.4;0.2484864;False;24.05.2024 14:06:22:34;1716552382034;;
531;965;0.207508;0.6705952;0.2326845;0.589807;717.7;0.2479935;False;24.05.2024 14:06:22:48;1716552382048;;
766;963;0.2994918;0.6688262;0.4936736;0.6193023;717.1;0.2457866;False;24.05.2024 14:06:22:67;1716552382067;;
879;961;0.3437328;0.6675025;0.4802198;0.6180596;716.5;0.2452311;False;24.05.2024 14:06:22:81;1716552382081;;
1012;957;0.3953473;0.6649045;0.5154358;0.6047792;720.3;0.2465665;False;24.05.2024 14:06:22:100;1716552382100;;
1157;953;0.4522732;0.6618668;0.5824198;0.5928041;723.7;0.2463068;False;24.05.2024 14:06:22:117;1716552382117;;
1187;951;0.4640081;0.6610976;0.5014888;0.6205502;727.3;0.2444208;False;24.05.2024 14:06:22:135;1716552382135;;
1226;950;0.4790521;0.6598686;0.5326635;0.6085001;730.4;0.2440023;False;24.05.2024 14:06:22:150;1716552382150;;
1262;949;0.4930088;0.6591916;0.5385544;0.6180879;731.9;0.238599;False;24.05.2024 14:06:22:169;1716552382169;;
1297;946;0.5066522;0.6574464;0.5614027;0.5956906;733.1;0.2381971;False;24.05.2024 14:06:22:183;1716552382183;;
1298;944;0.5071779;0.6562107;0.5093531;0.6078711;734.5;0.2418355;False;24.05.2024 14:06:22:205;1716552382205;;
1319;941;0.5153369;0.6536455;0.5502021;0.5855677;735.7;0.2416662;False;24.05.2024 14:06:22:222;1716552382222;;
1317;940;0.5148038;0.6534418;0.5115582;0.6180903;735.8;0.2360383;False;24.05.2024 14:06:22:241;1716552382241;;
1317;874;0.5147771;0.6072485;0.5145994;0.3955831;735.6;0.2429709;False;24.05.2024 14:06:22:259;1716552382259;;
1364;873;0.532833;0.6062707;0.6105235;0.5664362;735.3;0.242677;False;24.05.2024 14:06:22:274;1716552382274;;
1389;818;0.5429451;0.5682948;0.5873233;0.3800978;736.7;0.2377521;False;24.05.2024 14:06:22:292;1716552382292;;
1406;782;0.5493528;0.543605;0.5870076;0.3801465;737.9;0.2374752;False;24.05.2024 14:06:22:308;1716552382308;;
1420;786;0.5549134;0.5463967;0.5859377;0.6077183;738.0;0.2381289;False;24.05.2024 14:06:22:325;1716552382325;;
1431;790;0.5590791;0.548736;0.5858095;0.6077305;738.1;0.2378344;False;24.05.2024 14:06:22:342;1716552382342;;
1440;793;0.5626903;0.5509778;0.5859193;0.6077201;738.2;0.2380864;False;24.05.2024 14:06:22:361;1716552382361;;
1436;796;0.5612704;0.5532017;0.5290118;0.6094822;738.7;0.2382782;False;24.05.2024 14:06:22:381;1716552382381;;
1447;799;0.565259;0.5550448;0.5969779;0.6145736;739.1;0.2376841;False;24.05.2024 14:06:22:397;1716552382397;;
1474;801;0.5760819;0.5566919;0.6299857;0.6101413;739.1;0.2422726;False;24.05.2024 14:06:22:417;1716552382417;;
1484;806;0.5797042;0.5602516;0.60683;0.6333829;739.3;0.2393243;False;24.05.2024 14:06:22:435;1716552382435;;
1508;807;0.5890964;0.5604262;0.6479992;0.5941285;739.5;0.2389877;False;24.05.2024 14:06:22:451;1716552382451;;
1512;812;0.5907826;0.5640713;0.6068412;0.6385029;739.6;0.2357319;False;24.05.2024 14:06:22:470;1716552382470;;
1528;812;0.5971708;0.5642649;0.6470898;0.6006192;739.6;0.2354245;False;24.05.2024 14:06:22:484;1716552382484;;
1401;812;0.5476049;0.563906;0.3845412;0.5546186;738.9;0.2406631;False;24.05.2024 14:06:22:503;1716552382503;;
1327;811;0.5187413;0.5636592;0.3841974;0.5545992;738.3;0.2403772;False;24.05.2024 14:06:22:518;1716552382518;;
1327;814;0.5187346;0.565899;0.5183516;0.625969;738.3;0.2459304;False;24.05.2024 14:06:22:537;1716552382537;;
1327;817;0.5187274;0.5675405;0.5181882;0.6259601;738.4;0.24579;False;24.05.2024 14:06:22:553;1716552382553;;
1050;816;0.4103682;0.5672961;0.2148395;0.560159;736.4;0.2355677;False;24.05.2024 14:06:22:572;1716552382572;;
